Estado,Densidad
Aguascalientes,233.7
Baja California,46.4
Baja California Sur,9.6
Campeche,15.6
Ciudad de México,5967.3
Chiapas,71.2
Chihuahua,14.4
Coahuila,19.5
Colima,126.4
Durango,14.2
Guanajuato,191.3
Guerrero,55.6
Hidalgo,137.3
Jalisco,99.8
México,724.2
Michoacán ,78.2
Morelos,390.2
Nayarit,42.4
Nuevo León,79.8
Oaxaca,42.3
Puebla,179.8
Querétaro,174.4
Quintana Roo,33.6
San Luis Potosí,44.5
Sinaloa,51.7
Sonora,15.9
Tabasco,96.9
Tamaulipas,42.9
Tlaxcala,318.4
Veracruz,113
Yucatán,53.1
Zacatecas,21
