Estado,Lat,Long,IRS
AGUASCALIENTES,21.8823395,-102.2825928,-1.0367
BAJA CALIFORNIA,32.6278114,-115.4544601,-0.81808
BAJA CALIFORNIA SUR,24.1443691,-110.300499,-0.39536
CAMPECHE,19.8438606,-90.5255432,0.30412
CIUDAD DE MÉXICO,19.4284706,-99.1276627,-1.31333
CHIAPAS,16.7597294,-93.1130829,2.38767
CHIHUAHUA,28.6352806,-106.0888901,-0.58719
COAHUILA,25.4232101,-101.0053024,-1.06497
COLIMA,19.2499695,-103.7271423,-0.65765
DURANGO,25.5698509,-103.4958801,-0.03255
GUANAJUATO,21.0185795,-101.2591019,-0.0584
GUERRERO,16.8494205,-99.9089127,2.45145
HIDALGO,20.1169701,-98.7332916,0.44955
JALISCO,20.6668205,-103.3918228,-0.6917
MÉXICO,19.2878609,-99.6532364,-0.47953
MICHOACÁN,19.7007809,-101.184433,0.62525
MORELOS,18.9260998,-99.230751,-0.20883
NAYARIT,21.50951,-104.8956909,0.01264
NUEVO LEÓN,25.6750698,-100.3184662,-1.36033
OAXACA,17.0654202,-96.7236481,2.53901
PUEBLA,19.0640602,-98.3035202,0.88342
QUERETARO,20.5880604,-100.3880615,-0.42591
QUINTANA ROO,21.1742897,-86.8465576,-0.39613
SAN LUIS POTOSÍ,22.1498203,-100.9791565,0.61101
SINALOA,23.2329006,-106.4061966,-0.4578
SONORA,29.1026001,-110.9773178,-0.5882
TABASCO,17.9868908,-92.9302826,-0.15448
TAMAULIPAS,26.0806103,-98.288353,-0.5268
TLAXCALA,19.31905,-98.19982,-0.17366
VERACRUZ,19.1809502,-96.1428986,1.19939
YUCATÁN,20.400417,-89.134857,0.29446
ZACATECAS,22.76843,-102.58141,-0.33037
