Estado,total
Aguascalientes,4032
Baja California,37425
Baja California Sur,9337
Campeche,6389
Ciudad de México,198026
Chiapas,56400
Chihuahua,103540
Coahuila,37960
Colima,7847
Durango,28408
Guanajuato,31153
Guerrero,19608
Hidalgo,21159
Jalisco,86669
México,186548
Michoacán,49337
Morelos,24889
Nayarit,7435
Nuevo León,63042
Oaxaca,22601
Puebla,55939
Querétaro,12941
Quintana Roo,19191
San Luis Potosí,23439
Sinaloa,10813
Sonora,20291
Tabasco,24978
Tamaulipas,101796
Tlaxcala,5440
Veracruz,94957
Yucatán,12598
Zacatecas,13218
